index	line_no	section	name	declared_n	raw_lines	text_rows	multimodal_rows	json_errors	empty_lines	no_conversations	path
184	186	=== flashlitev42_meta.json ===	subagent_jizhisupply-child-260709-part2_gpt55_openclaw260409_linux_20260709	11824	147804	147444	360	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/hongjiawei/code/ms-swift-hjw/miniModel/data_20260722/flash-lite-v42-0830/overall_swift/subagent_jizhisupply-child-260709-part2_gpt55_openclaw260409_linux_20260709.jsonl
185	187	=== flashlitev42_meta.json ===	subagent_jizhisupply-child-260709_gpt55_openclaw260409_linux_20260709	5890	29451	29369	82	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/hongjiawei/code/ms-swift-hjw/miniModel/data_20260722/flash-lite-v42-0830/overall_swift/subagent_jizhisupply-child-260709_gpt55_openclaw260409_linux_20260709.jsonl
186	188	=== flashlitev42_meta.json ===	subagent_jizhisupply-child-260714_gpt55_openclaw260409_linux_20260714	1692	16925	16869	56	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/hongjiawei/code/ms-swift-hjw/miniModel/data_20260722/flash-lite-v42-0830/overall_swift/subagent_jizhisupply-child-260714_gpt55_openclaw260409_linux_20260714.jsonl
187	189	=== flashlitev42_meta.json ===	subagent_jizhisupply-main-260701_gpt55_openclaw260409_linux_20260701	3966	3966	3943	23	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/hongjiawei/code/ms-swift-hjw/miniModel/data_20260722/flash-lite-v42-0830/overall_swift/subagent_jizhisupply-main-260701_gpt55_openclaw260409_linux_20260701.jsonl
188	190	=== flashlitev42_meta.json ===	subagent_jizhisupply-main-260702_gpt55_openclaw260409_linux_20260702	465	465	461	4	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/hongjiawei/code/ms-swift-hjw/miniModel/data_20260722/flash-lite-v42-0830/overall_swift/subagent_jizhisupply-main-260702_gpt55_openclaw260409_linux_20260702.jsonl
189	191	=== flashlitev42_meta.json ===	subagent_jizhisupply-main-260709_gpt55_openclaw260409_linux_20260709	18046	36093	35927	166	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/hongjiawei/code/ms-swift-hjw/miniModel/data_20260722/flash-lite-v42-0830/overall_swift/subagent_jizhisupply-main-260709_gpt55_openclaw260409_linux_20260709.jsonl
190	192	=== flashlitev42_meta.json ===	subagent_jizhisupply-main-260714_gpt55_openclaw260409_linux_20260714	4838	4838	4813	25	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/hongjiawei/code/ms-swift-hjw/miniModel/data_20260722/flash-lite-v42-0830/overall_swift/subagent_jizhisupply-main-260714_gpt55_openclaw260409_linux_20260714.jsonl
191	193	=== flashlitev42_meta.json ===	subagent_longformtask-child-260719_claude46opus_claudecode2-1-177_linux_20260731	939	939	910	29	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/hongjiawei/code/ms-swift-hjw/miniModel/data_20260722/flash-lite-v42-0830/overall_swift/subagent_longformtask-child-260719_claude46opus_claudecode2-1-177_linux_20260731.jsonl
192	194	=== flashlitev42_meta.json ===	subagent_longformtask-child-260720_claude47opus_hermes0-11-0_linux_20260731	11084	22169	21980	189	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/hongjiawei/code/ms-swift-hjw/miniModel/data_20260722/flash-lite-v42-0830/overall_swift/subagent_longformtask-child-260720_claude47opus_hermes0-11-0_linux_20260731.jsonl
193	195	=== flashlitev42_meta.json ===	subagent_longformtask-child-260720_gpt55_codex0-142-5_linux_20260731	32228	64456	64090	366	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/hongjiawei/code/ms-swift-hjw/miniModel/data_20260722/flash-lite-v42-0830/overall_swift/subagent_longformtask-child-260720_gpt55_codex0-142-5_linux_20260731.jsonl
194	196	=== flashlitev42_meta.json ===	subagent_longformtask-child-260722_claude47opus_openclaw260605_linux_20260731	5704	5704	5641	63	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/hongjiawei/code/ms-swift-hjw/miniModel/data_20260722/flash-lite-v42-0830/overall_swift/subagent_longformtask-child-260722_claude47opus_openclaw260605_linux_20260731.jsonl
195	197	=== flashlitev42_meta.json ===	subagent_longformtask-child-v1-3delta-260804_gpt56sol_codex0-142-5_linux_20260810	3647	3647	0	3647	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/hongjiawei/code/ms-swift-hjw/miniModel/data_20260722/flash-lite-v42-0830/overall_swift/subagent_longformtask-child-v1-3delta-260804_gpt56sol_codex0-142-5_linux_20260810.jsonl
196	198	=== flashlitev42_meta.json ===	subagent_longformtask-main-260719_claude46opus_claudecode2-1-177_linux_20260731	172	172	172	0	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/hongjiawei/code/ms-swift-hjw/miniModel/data_20260722/flash-lite-v42-0830/overall_swift/subagent_longformtask-main-260719_claude46opus_claudecode2-1-177_linux_20260731.jsonl
197	199	=== flashlitev42_meta.json ===	subagent_longformtask-main-260720_claude47opus_hermes0-11-0_linux_20260731	2325	2325	2240	85	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/hongjiawei/code/ms-swift-hjw/miniModel/data_20260722/flash-lite-v42-0830/overall_swift/subagent_longformtask-main-260720_claude47opus_hermes0-11-0_linux_20260731.jsonl
198	200	=== flashlitev42_meta.json ===	subagent_longformtask-main-260720_gpt55_codex0-142-5_linux_20260731	1898	1898	0	1898	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/hongjiawei/code/ms-swift-hjw/miniModel/data_20260722/flash-lite-v42-0830/overall_swift/subagent_longformtask-main-260720_gpt55_codex0-142-5_linux_20260731.jsonl
199	201	=== flashlitev42_meta.json ===	subagent_longformtask-main-260722_claude47opus_openclaw260605_linux_20260731	662	662	661	1	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/hongjiawei/code/ms-swift-hjw/miniModel/data_20260722/flash-lite-v42-0830/overall_swift/subagent_longformtask-main-260722_claude47opus_openclaw260605_linux_20260731.jsonl
200	202	=== flashlitev42_meta.json ===	subagent_longformtask-main-260804_claude5opus_claudecode2-1-220_linux_20260805	2542	2542	2529	13	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/hongjiawei/code/ms-swift-hjw/miniModel/data_20260722/flash-lite-v42-0830/overall_swift/subagent_longformtask-main-260804_claude5opus_claudecode2-1-220_linux_20260805.jsonl
201	203	=== flashlitev42_meta.json ===	subagent_longformtask-main-260804_claude5opus_hermes0-11-0_linux_20260805	831	831	828	3	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/hongjiawei/code/ms-swift-hjw/miniModel/data_20260722/flash-lite-v42-0830/overall_swift/subagent_longformtask-main-260804_claude5opus_hermes0-11-0_linux_20260805.jsonl
202	204	=== flashlitev42_meta.json ===	subagent_longformtask-main-260804_claude5opus_openclaw260605_linux_20260805	668	668	658	10	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/hongjiawei/code/ms-swift-hjw/miniModel/data_20260722/flash-lite-v42-0830/overall_swift/subagent_longformtask-main-260804_claude5opus_openclaw260605_linux_20260805.jsonl
203	205	=== flashlitev42_meta.json ===	subagent_longformtask-main-v1-3delta-260804_claude5opus_hermes0-11-0_linux_20260810	134	134	134	0	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/hongjiawei/code/ms-swift-hjw/miniModel/data_20260722/flash-lite-v42-0830/overall_swift/subagent_longformtask-main-v1-3delta-260804_claude5opus_hermes0-11-0_linux_20260810.jsonl
204	206	=== flashlitev42_meta.json ===	subagent_longformtask-main-v1-3delta-260804_gpt56sol_codex0-142-5_linux_20260810	473	473	0	473	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/hongjiawei/code/ms-swift-hjw/miniModel/data_20260722/flash-lite-v42-0830/overall_swift/subagent_longformtask-main-v1-3delta-260804_gpt56sol_codex0-142-5_linux_20260810.jsonl
205	207	=== flashlitev42_meta.json ===	subagent_skilltask-child-260701_claude46opus_hermes0-11-0_linux_20260701	1709	3418	3408	10	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/hongjiawei/code/ms-swift-hjw/miniModel/data_20260722/flash-lite-v42-0830/overall_swift/subagent_skilltask-child-260701_claude46opus_hermes0-11-0_linux_20260701.jsonl
206	208	=== flashlitev42_meta.json ===	subagent_skilltask-child-260701_gpt55_openclaw260605_linux_20260701	5847	5847	5835	12	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/hongjiawei/code/ms-swift-hjw/miniModel/data_20260722/flash-lite-v42-0830/overall_swift/subagent_skilltask-child-260701_gpt55_openclaw260605_linux_20260701.jsonl
207	209	=== flashlitev42_meta.json ===	subagent_skilltask-main-260701_claude46opus_hermes0-11-0_linux_20260701	180	180	140	40	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/hongjiawei/code/ms-swift-hjw/miniModel/data_20260722/flash-lite-v42-0830/overall_swift/subagent_skilltask-main-260701_claude46opus_hermes0-11-0_linux_20260701.jsonl
208	210	=== flashlitev42_meta.json ===	subagent_skilltask-main-260701_gpt55_openclaw260605_linux_20260701	1904	1904	1898	6	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/hongjiawei/code/ms-swift-hjw/miniModel/data_20260722/flash-lite-v42-0830/overall_swift/subagent_skilltask-main-260701_gpt55_openclaw260605_linux_20260701.jsonl
209	211	=== flashlitev42_meta.json ===	sweCoding_opus5-reward1-cot-2batch_claude5opus_hermes-openhands-sdk1391_linux_20260814	6027	2009	1936	73	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/hongjiawei/code/ms-swift-hjw/miniModel/data_20260722/flash-lite-v42-0830/overall_swift/sweCoding_opus5-reward1-cot-2batch_claude5opus_hermes-openhands-sdk1391_linux_20260814.jsonl
210	212	=== flashlitev42_meta.json ===	sweCoding_opus5-reward1-cot-synth-pipelinev3_claude5opus_hermes-openhands-sdk1391_linux_20260824	4845	1615	1533	82	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/hongjiawei/code/ms-swift-hjw/miniModel/data_20260722/flash-lite-v42-0830/overall_swift/sweCoding_opus5-reward1-cot-synth-pipelinev3_claude5opus_hermes-openhands-sdk1391_linux_20260824.jsonl
211	213	=== flashlitev42_meta.json ===	sweCoding_rebench-v2-reward1_claude5opus_hermes_linux_20260807	2514	838	811	27	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/hongjiawei/code/ms-swift-hjw/miniModel/data_20260722/flash-lite-v42-0830/overall_swift/sweCoding_rebench-v2-reward1_claude5opus_hermes_linux_20260807.jsonl
212	214	=== flashlitev42_meta.json ===	terminalCoding_batch0004-opus5-reward1-cot-recovered_claude5opus_terminus2_linux_20260827	806	403	403	0	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/hongjiawei/code/ms-swift-hjw/miniModel/data_20260722/flash-lite-v42-0830/overall_swift/terminalCoding_batch0004-opus5-reward1-cot-recovered_claude5opus_terminus2_linux_20260827.jsonl
213	215	=== flashlitev42_meta.json ===	terminalCoding_endless_claude47opus_terminus2_linux_20260825	66	33	33	0	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/hongjiawei/code/ms-swift-hjw/miniModel/data_20260722/flash-lite-v42-0830/overall_swift/terminalCoding_endless_claude47opus_terminus2_linux_20260825.jsonl
214	216	=== flashlitev42_meta.json ===	terminalCoding_lego_claude47opus_terminus2_linux_20260825	66	33	33	0	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/hongjiawei/code/ms-swift-hjw/miniModel/data_20260722/flash-lite-v42-0830/overall_swift/terminalCoding_lego_claude47opus_terminus2_linux_20260825.jsonl
215	217	=== flashlitev42_meta.json ===	terminalCoding_litecoder_claude47opus_terminus2_linux_20260825	4	2	2	0	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/hongjiawei/code/ms-swift-hjw/miniModel/data_20260722/flash-lite-v42-0830/overall_swift/terminalCoding_litecoder_claude47opus_terminus2_linux_20260825.jsonl
216	218	=== flashlitev42_meta.json ===	terminalCoding_seta_claude47opus_terminus2_linux_20260825	2	1	1	0	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/hongjiawei/code/ms-swift-hjw/miniModel/data_20260722/flash-lite-v42-0830/overall_swift/terminalCoding_seta_claude47opus_terminus2_linux_20260825.jsonl
217	219	=== flashlitev42_meta.json ===	terminalCoding_tb2v-opus5-cot-recovered_claude5opus_terminus2_linux_20260824	1950	975	974	1	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/hongjiawei/code/ms-swift-hjw/miniModel/data_20260722/flash-lite-v42-0830/overall_swift/terminalCoding_tb2v-opus5-cot-recovered_claude5opus_terminus2_linux_20260824.jsonl
218	220	=== flashlitev42_meta.json ===	terminalCoding_tb2v-opus5-valid-failures-cot-recovered_claude5opus_terminus2_linux_20260827	1116	558	557	1	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/hongjiawei/code/ms-swift-hjw/miniModel/data_20260722/flash-lite-v42-0830/overall_swift/terminalCoding_tb2v-opus5-valid-failures-cot-recovered_claude5opus_terminus2_linux_20260827.jsonl
219	221	=== flashlitev42_meta.json ===	terminalCoding_termigen_claude47opus_terminus2_linux_20260825	2	1	1	0	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/hongjiawei/code/ms-swift-hjw/miniModel/data_20260722/flash-lite-v42-0830/overall_swift/terminalCoding_termigen_claude47opus_terminus2_linux_20260825.jsonl
220	222	=== flashlitev42_meta.json ===	terminalCoding_terminaltraj_claude47opus_terminus2_linux_20260825	4204	2102	2099	3	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/hongjiawei/code/ms-swift-hjw/miniModel/data_20260722/flash-lite-v42-0830/overall_swift/terminalCoding_terminaltraj_claude47opus_terminus2_linux_20260825.jsonl
221	223	=== flashlitev42_meta.json ===	terminalCoding_tmax_claude47opus_terminus2_linux_20260825	14106	7053	7053	0	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/hongjiawei/code/ms-swift-hjw/miniModel/data_20260722/flash-lite-v42-0830/overall_swift/terminalCoding_tmax_claude47opus_terminus2_linux_20260825.jsonl
222	224	=== flashlitev42_meta.json ===	terminalCoding_tw_claude47opus_terminus2_linux_20260825	4	2	2	0	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/hongjiawei/code/ms-swift-hjw/miniModel/data_20260722/flash-lite-v42-0830/overall_swift/terminalCoding_tw_claude47opus_terminus2_linux_20260825.jsonl
223	226	=== ppt_recover_swift_meta.json ===	dynamic-v1.4	1694	847	0	847	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/ppt_recover_0723_swift/dynamic-v1.4_s3.openai.jsonl
224	227	=== ppt_recover_swift_meta.json ===	dynamic-merged	13510	6755	0	6755	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/ppt_recover_0723_swift/merged-all_s3.openai.jsonl
225	228	=== ppt_recover_swift_meta.json ===	pptagent_static_mixture	25770	32212	12483	19729	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/hongjiawei/code/ms-swift-hjw/miniModel/data_20260722/flash-lite-v42-0830/pptagent_static_mixture_swift/ppt_source_medium_view.jsonl
226	229	=== ppt_recover_swift_meta.json ===	pptagent_static_simple_v1	34337	42921	0	42921	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/ppt_recover_0723_swift/pptagent_static_simple_v1.openai.jsonl
227	230	=== ppt_recover_swift_meta.json ===	pptagent_static_simple_v2	44768	55960	6226	49734	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/ppt_recover_0723_swift/pptagent_static_simple_v2.openai.jsonl
228	231	=== ppt_recover_swift_meta.json ===	pptagent_static_complex_v1	50560	101119	8602	92517	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/ppt_recover_0723_swift/pptagent_static_complex_v1.openai.jsonl
229	232	=== ppt_recover_swift_meta.json ===	pptagent_static_material_v1	23612	26236	2760	23476	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/ppt_recover_0723_swift/pptagent_static_material_v1.openai.jsonl
230	257	=== dataanalyse_swiftmeta.json ===	base-claude-skills-think-0305-merged_openai	19153	13681	13673	8	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/data_analyze/swift/base-claude-skills-think-0305-merged_openai.jsonl
231	258	=== dataanalyse_swiftmeta.json ===	classified_reports_all_images_revise_link_filter_reformat_title_20250905_check_fixed_en_openai	5443	6048	6048	0	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/data_analyze/swift/classified_reports_all_images_revise_link_filter_reformat_title_20250905_check_fixed_en_openai.jsonl
232	259	=== dataanalyse_swiftmeta.json ===	classified_reports_all_images_revise_link_filter_reformat_title_20250905_check_fixed_openai	5543	6159	6159	0	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/data_analyze/swift/classified_reports_all_images_revise_link_filter_reformat_title_20250905_check_fixed_openai.jsonl
233	260	=== dataanalyse_swiftmeta.json ===	classified_reports_all_xlsx_reformat_title_20250905_check_fixed_en_openai	2574	2860	2860	0	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/data_analyze/swift/classified_reports_all_xlsx_reformat_title_20250905_check_fixed_en_openai.jsonl
234	261	=== dataanalyse_swiftmeta.json ===	classified_reports_all_xlsx_reformat_title_20250905_check_fixed_openai	2609	2899	2899	0	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/data_analyze/swift/classified_reports_all_xlsx_reformat_title_20250905_check_fixed_openai.jsonl
235	262	=== dataanalyse_swiftmeta.json ===	classified_reports_mixed_revise_link_0904_2k_20250905_check_fixed_en_openai	1796	1995	1995	0	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/data_analyze/swift/classified_reports_mixed_revise_link_0904_2k_20250905_check_fixed_en_openai.jsonl
236	263	=== dataanalyse_swiftmeta.json ===	classified_reports_mixed_revise_link_0904_2k_20250905_check_fixed_openai	1871	2079	2079	0	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/data_analyze/swift/classified_reports_mixed_revise_link_0904_2k_20250905_check_fixed_openai.jsonl
237	264	=== dataanalyse_swiftmeta.json ===	claude4_distill_data_all_fc_refind_report_20250908_check_fixed_en_openai	40302	36638	36638	0	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/data_analyze/swift/claude4_distill_data_all_fc_refind_report_20250908_check_fixed_en_openai.jsonl
238	265	=== dataanalyse_swiftmeta.json ===	claude4_distill_data_all_fc_refind_report_20250908_check_fixed_openai	73274	66613	66613	0	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/data_analyze/swift/claude4_distill_data_all_fc_refind_report_20250908_check_fixed_openai.jsonl
239	266	=== dataanalyse_swiftmeta.json ===	claude4_distill_data_all_fc_refind_report_20250908_check_fixed_zh_tw_openai	39893	36266	36266	0	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/data_analyze/swift/claude4_distill_data_all_fc_refind_report_20250908_check_fixed_zh_tw_openai.jsonl
240	267	=== dataanalyse_swiftmeta.json ===	claude5_2179_recovered_training_ready	4358	2179	0	2179	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/data_analyze/swift/claude5_2179_recovered_training_ready.jsonl
241	268	=== dataanalyse_swiftmeta.json ===	cluade45_enhance_yanse_query_0107_openai	8891	7409	7409	0	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/data_analyze/swift/cluade45_enhance_yanse_query_0107_openai.jsonl
242	269	=== dataanalyse_swiftmeta.json ===	cluade45_huiliu_filterby_moe_part1_0109_openai	4308	3590	3586	4	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/data_analyze/swift/cluade45_huiliu_filterby_moe_part1_0109_openai.jsonl
243	270	=== dataanalyse_swiftmeta.json ===	cluade45_huiliu_filterby_moe_part2_0109_openai	4362	3635	3635	0	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/data_analyze/swift/cluade45_huiliu_filterby_moe_part2_0109_openai.jsonl
244	271	=== dataanalyse_swiftmeta.json ===	cluade45_huiliu_filterby_moe_part3_0109_openai	4613	3844	3843	1	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/data_analyze/swift/cluade45_huiliu_filterby_moe_part3_0109_openai.jsonl
245	272	=== dataanalyse_swiftmeta.json ===	cluade45_huiliu_filterby_moe_part4_0109_openai	3232	2693	2693	0	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/data_analyze/swift/cluade45_huiliu_filterby_moe_part4_0109_openai.jsonl
246	273	=== dataanalyse_swiftmeta.json ===	cluade45_jinshan_huiliu_filterby_moe_0107_openai	2239	1866	1866	0	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/data_analyze/swift/cluade45_jinshan_huiliu_filterby_moe_0107_openai.jsonl
247	274	=== dataanalyse_swiftmeta.json ===	complex_5k_html_0625_1917_noimages_openai	13397	11164	9628	1536	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/data_analyze/swift/complex_5k_html_0625_1917_noimages_openai.jsonl
248	275	=== dataanalyse_swiftmeta.json ===	cross_deduped_distill_0325_jpg_emb_dedup_cluade46_from_pipeline3_openai	299	230	228	2	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/data_analyze/swift/cross_deduped_distill_0325_jpg_emb_dedup_cluade46_from_pipeline3_openai.jsonl
249	276	=== dataanalyse_swiftmeta.json ===	cross_deduped_distill_0325_png_emb_dedup_cluade46_from_pipeline3_openai	1076	828	828	0	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/data_analyze/swift/cross_deduped_distill_0325_png_emb_dedup_cluade46_from_pipeline3_openai.jsonl
250	277	=== dataanalyse_swiftmeta.json ===	dataAnalysis_multifiles_claude46opus_boxagent_linux	12862	6431	6400	31	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/data_analyze/swift/dataAnalysis_multifiles_claude46opus_boxagent_linux.jsonl
251	278	=== dataanalyse_swiftmeta.json ===	dataAnalysis_multifiles_claude46opus_hermes_linux	9988	4994	0	4994	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/data_analyze/swift/dataAnalysis_multifiles_claude46opus_hermes_linux.jsonl
252	279	=== dataanalyse_swiftmeta.json ===	data_202512_distill_data_dedup_openai	4942	5491	5491	0	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/data_analyze/swift/data_202512_distill_data_dedup_openai.jsonl
253	280	=== dataanalyse_swiftmeta.json ===	data_20260212_212034_02_docx_openai	176	196	194	2	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/data_analyze/swift/data_20260212_212034_02_docx_openai.jsonl
254	281	=== dataanalyse_swiftmeta.json ===	data_20260212_212034_02_excel_openai	1395	1550	1546	4	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/data_analyze/swift/data_20260212_212034_02_excel_openai.jsonl
255	282	=== dataanalyse_swiftmeta.json ===	data_20260212_212034_02_pdf_openai	346	384	384	0	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/data_analyze/swift/data_20260212_212034_02_pdf_openai.jsonl
256	283	=== dataanalyse_swiftmeta.json ===	data_filtered_good_openai	66686	51297	51297	0	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/data_analyze/swift/data_filtered_good_openai.jsonl
257	284	=== dataanalyse_swiftmeta.json ===	data_filtered_good_v4pro_docx_pipeline7_openai	4736	3157	3143	14	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/data_analyze/swift/data_filtered_good_v4pro_docx_pipeline7_openai.jsonl
258	285	=== dataanalyse_swiftmeta.json ===	data_filtered_good_v4pro_pdf_pipeline7_openai	1562	1041	1040	1	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/data_analyze/swift/data_filtered_good_v4pro_pdf_pipeline7_openai.jsonl
259	286	=== dataanalyse_swiftmeta.json ===	distill_output_cross_sheet_qa_distill_cluade46_from_pipeline3_openai	11471	8824	8824	0	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/data_analyze/swift/distill_output_cross_sheet_qa_distill_cluade46_from_pipeline3_openai.jsonl
260	287	=== dataanalyse_swiftmeta.json ===	distill_output_cross_sheet_qa_distill_cluade46_from_pipeline3_rp3_openai	17207	13236	13236	0	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/data_analyze/swift/distill_output_cross_sheet_qa_distill_cluade46_from_pipeline3_rp3_openai.jsonl
261	288	=== dataanalyse_swiftmeta.json ===	distill_output_xlsx_data_20260325_cluade46_from_pipeline3_openai	9922	7632	7626	6	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/data_analyze/swift/distill_output_xlsx_data_20260325_cluade46_from_pipeline3_openai.jsonl
262	289	=== dataanalyse_swiftmeta.json ===	distill_pdf_by_DJ-Cluade46-PDF_openai	1570	1208	1207	1	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/data_analyze/swift/distill_pdf_by_DJ-Cluade46-PDF_openai.jsonl
263	290	=== dataanalyse_swiftmeta.json ===	distill_pdf_by_DJ-Cluade46_openai	30307	23313	23268	45	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/data_analyze/swift/distill_pdf_by_DJ-Cluade46_openai.jsonl
264	291	=== dataanalyse_swiftmeta.json ===	dsv32_qa_en_merged_output_cleaned_dedup_sys_openai	8430	9367	9367	0	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/data_analyze/swift/dsv32_qa_en_merged_output_cleaned_dedup_sys_openai.jsonl
265	292	=== dataanalyse_swiftmeta.json ===	kaggle_data_claude_distill_0922_en_openai	6166	6166	6153	13	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/data_analyze/swift/kaggle_data_claude_distill_0922_en_openai.jsonl
266	293	=== dataanalyse_swiftmeta.json ===	kaggle_data_claude_distill_0922_openai	9220	9220	9201	19	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/data_analyze/swift/kaggle_data_claude_distill_0922_openai.jsonl
267	294	=== dataanalyse_swiftmeta.json ===	kaggle_data_claude_distill_0922_zh-tw_openai	6443	6443	6427	16	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/data_analyze/swift/kaggle_data_claude_distill_0922_zh-tw_openai.jsonl
268	295	=== dataanalyse_swiftmeta.json ===	merged_202512and_20260212_cross_dedup_distill_picture_from_pipeline3_openai	3536	2947	2918	29	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/data_analyze/swift/merged_202512and_20260212_cross_dedup_distill_picture_from_pipeline3_openai.jsonl
